URL,repo,Phase,Symptom(s),Unexpected Tokens,Component,Root Cause(s)
https://github.com/ggml-org/llama.cpp/issues/3782,Llama.cpp,Inference/Serving,Unexpected Output,Semantic Coherence,Model Conversion Tools,Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/3780,Llama.cpp,Inference/Serving,Crash,,Resource Manager,Incorrect Multi-device Management
https://github.com/ggml-org/llama.cpp/issues/3773,Llama.cpp,Model Conversion,Silent Error,,Model Conversion Tools,Misused API
https://github.com/ggml-org/llama.cpp/issues/3771,Llama.cpp,Inference/Serving,Abnormal Performance,,Operators,Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/3766,Llama.cpp,Inference/Serving,System Hang,,Request Parser@@Request Parser,Incorrect Request Parsing@@Incorrect Exception Handling
https://github.com/ggml-org/llama.cpp/issues/3754,Llama.cpp,Inference/Serving,Crash,,Model Loader,Mismatched Shape
https://github.com/ggml-org/llama.cpp/issues/3753,Llama.cpp,Inference/Serving,Crash,,Input Processor,Misused API
https://github.com/ggml-org/llama.cpp/issues/3752,Llama.cpp,Inference/Serving,Crash,,Communicator,Incompatible Version
https://github.com/ggml-org/llama.cpp/issues/3702,Llama.cpp,Inference/Serving,Crash,,Engine Initializer,Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/3670,Llama.cpp,Engine Setup,Crash,,Setup Tools,Dependent Module Issue
https://github.com/ggml-org/llama.cpp/issues/3634,Llama.cpp,Inference/Serving,Crash,,Model Loader,Misused API
https://github.com/ggml-org/llama.cpp/issues/3550,Llama.cpp,Inference/Serving,Crash,,Request Parser,Incorrect Exception Handling
https://github.com/ggml-org/llama.cpp/issues/3537,Llama.cpp,Inference/Serving,Feature Failure,,Operators,Concurrency Issue
https://github.com/ggml-org/llama.cpp/issues/3276,Llama.cpp,Inference/Serving,Unexpected Output,Semantic Coherence,Backend Adapter,Misused API
https://github.com/ggml-org/llama.cpp/issues/3058,Llama.cpp,Inference/Serving,Crash,,Resource Manager,Incorrect Resource Allocation
https://github.com/ggml-org/llama.cpp/issues/3040,Llama.cpp,Inference/Serving,Unexpected Output,Character,Model Conversion Tools,Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/2982,Llama.cpp,Model Conversion,Crash,,Model Conversion Tools,Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/2922,Llama.cpp,Inference/Serving,Crash,,Model Loader,Incompatible Backend
https://github.com/ggml-org/llama.cpp/issues/2678,Llama.cpp,Inference/Serving,System Hang,,Operators@@Operators,Incompatible Backend@@Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/2504,Llama.cpp,Model Conversion,Silent Error,,Model Conversion Tools,Mismatched Precision
https://github.com/ggml-org/llama.cpp/issues/2413,Llama.cpp,Inference/Serving,System Hang,,Backend Adapter,Incompatible Backend
https://github.com/ggml-org/llama.cpp/issues/2350,Llama.cpp,Inference/Serving,Crash,,Resource Manager@@Resource Manager,Incorrect Exception Handling@@Incorrect Cache Management
https://github.com/ggml-org/llama.cpp/issues/2050,Llama.cpp,Inference/Serving,Unexpected Output,Character,Operators,Incorrect Assignment
https://github.com/ggml-org/llama.cpp/issues/1768,Llama.cpp,Inference/Serving,Crash,,Input Processor@@Input Processor,Incorrect Request Parsing@@Incorrect Exception Handling
https://github.com/ggml-org/llama.cpp/issues/1737,Llama.cpp,Inference/Serving,Crash,,Resource Manager,Incompatible Backend
https://github.com/ggml-org/llama.cpp/issues/1735,Llama.cpp,Inference/Serving,Unexpected Output,Character,Backend Adapter,Incompatible Version
https://github.com/ggml-org/llama.cpp/issues/1651,Llama.cpp,Inference/Serving,Unexpected Output,Semantic Coherence,Job Manager,Incorrect Job Context Management
https://github.com/ggml-org/llama.cpp/issues/1456,Llama.cpp,Inference/Serving,Crash,,Resource Manager,Incorrect Resource Deallocation
https://github.com/ggml-org/llama.cpp/issues/1283,Llama.cpp,Inference/Serving,Abnormal Performance,,Backend Adapter,Misused API
https://github.com/ggml-org/llama.cpp/issues/1279,Llama.cpp,Engine Setup,Crash,,Operators,Incompatible Backend
https://github.com/ggml-org/llama.cpp/issues/1092,Llama.cpp,Engine Setup,Crash,,Backend Adapter,Dependent Module Issue
https://github.com/ggml-org/llama.cpp/issues/1054,Llama.cpp,Inference/Serving,Feature Failure,,Request Parser,Incompatible Version
https://github.com/ggml-org/llama.cpp/issues/876,Llama.cpp,Model Conversion,Silent Error,,Model Conversion Tools,Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/808,Llama.cpp,Inference/Serving,Crash,,Model Conversion Tools,Incompatible Model
https://github.com/ggml-org/llama.cpp/issues/804,Llama.cpp,Engine Setup,Crash,,Operators@@Operators,Incorrect Algorithm Implementation@@Incompatible Backend
https://github.com/ggml-org/llama.cpp/issues/790,Llama.cpp,Inference/Serving,Abnormal Performance,,Model Loader@@Monitor & Logger,Incorrect Algorithm Implementation@@Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/774,Llama.cpp,Model Conversion,Crash,,Model Conversion Tools,Incompatible Version
https://github.com/ggml-org/llama.cpp/issues/746,Llama.cpp,Model Conversion,Crash,,Model Conversion Tools,Mismatched Shape
https://github.com/ggml-org/llama.cpp/issues/730,Llama.cpp,Inference/Serving,Unexpected Output,Length,Resource Manager,Incorrect Cache Management
https://github.com/ggml-org/llama.cpp/issues/578,Llama.cpp,Inference/Serving,Abnormal Performance,,Resource Manager,Incorrect Resource Allocation
https://github.com/ggml-org/llama.cpp/issues/537,Llama.cpp,Inference/Serving,Crash,,Setup Tools,Incompatible Backend
https://github.com/ggml-org/llama.cpp/issues/493,Llama.cpp,Engine Setup,Crash,,Setup Tools,Misconfiguration
https://github.com/ggml-org/llama.cpp/issues/462,Llama.cpp,Inference/Serving,Abnormal Performance,,Resource Manager,Incorrect Resource Deallocation
https://github.com/ggml-org/llama.cpp/issues/412,Llama.cpp,Engine Setup,Crash,,Setup Tools,Misconfiguration
https://github.com/ggml-org/llama.cpp/issues/411,Llama.cpp,Inference/Serving,Crash,,Input Processor,Incorrect Request Parsing
https://github.com/ggml-org/llama.cpp/issues/385,Llama.cpp,Inference/Serving,Crash,,Input Processor,Incorrect Request Parsing
https://github.com/ggml-org/llama.cpp/issues/379,Llama.cpp,Inference/Serving,Crash,,Model Conversion Tools,Incompatible Model
https://github.com/ggml-org/llama.cpp/issues/374,Llama.cpp,Model Conversion,Silent Error,,Model Conversion Tools@@Model Conversion Tools,Document Issue@@Misconfiguration
https://github.com/ggml-org/llama.cpp/issues/344,Llama.cpp,Inference/Serving,Unexpected Output,Character,Model Conversion Tools,Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/324,Llama.cpp,Model Conversion,Crash,,Model Conversion Tools,Incompatible Version
https://github.com/ggml-org/llama.cpp/issues/307,Llama.cpp,Inference/Serving,Feature Failure,,Job Manager,Misused API
https://github.com/ggml-org/llama.cpp/issues/290,Llama.cpp,Inference/Serving,Unexpected Output,Character,Input Processor,Incorrect Tokenization
https://github.com/ggml-org/llama.cpp/issues/279,Llama.cpp,Engine Setup,Crash,,Backend Adapter,Incompatible Backend
https://github.com/ggml-org/llama.cpp/issues/257,Llama.cpp,Inference/Serving,Crash,,Model Loader,Incorrect Exception Handling
https://github.com/ggml-org/llama.cpp/issues/249,Llama.cpp,Inference/Serving,Unexpected Output,Inconsistent Output,Input Processor,Misused API
https://github.com/ggml-org/llama.cpp/issues/237,Llama.cpp,Engine Setup,Crash,,Engine Initializer@@Engine Initializer,Incompatible Backend@@Misconfiguration
https://github.com/ggml-org/llama.cpp/issues/196,Llama.cpp,Engine Setup,Crash,,Operators,Incompatible Backend
https://github.com/ggml-org/llama.cpp/issues/173,Llama.cpp,Inference/Serving,Feature Failure,,Operators,Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/167,Llama.cpp,Inference/Serving,Unexpected Output,Inconsistent Output,Input Processor,Incorrect Tokenization
https://github.com/ggml-org/llama.cpp/issues/152,Llama.cpp,Inference/Serving,Unexpected Output,Character,Model Conversion Tools,Incompatible Model
https://github.com/ggml-org/llama.cpp/issues/119,Llama.cpp,Inference/Serving,Crash,,Model Loader,Incorrect Exception Handling
https://github.com/ggml-org/llama.cpp/issues/101,Llama.cpp,Engine Setup,Crash,,Setup Tools,Incompatible Backend
https://github.com/ggml-org/llama.cpp/issues/89,Llama.cpp,Inference/Serving,Unexpected Output,Length,Output Processor,Misused API
https://github.com/ggml-org/llama.cpp/issues/52,Llama.cpp,Inference/Serving,Crash,,Resource Manager@@Resource Manager,Numerical Issue@@Incorrect Resource Allocation
https://github.com/ggml-org/llama.cpp/issues/46,Llama.cpp,Inference/Serving,Crash,,Model Loader,Incompatible Backend
https://github.com/vllm-project/vllm/issues/5563,vllm,Inference/Serving,Crash,,Resource Manager,Mismatched Shape
https://github.com/vllm-project/vllm/issues/5840,vllm,Inference/Serving,Crash,,Operators,Incorrect Type
https://github.com/vllm-project/vllm/issues/7272,vllm,Inference/Serving,Crash,,Input Processor,Insufficient Multimodal Support
https://github.com/vllm-project/vllm/issues/6059,vllm,Engine Setup,Crash,,Setup Tools,Misused API
https://github.com/vllm-project/vllm/issues/10395,vllm,Inference/Serving,Unexpected Output,,Output Processor,Incorrect Formatting
https://github.com/vllm-project/vllm/issues/795,vllm,Inference/Serving,Crash,,Operators,Incorrect Algorithm Implementation
https://github.com/vllm-project/vllm/issues/191,vllm,Inference/Serving,Crash,,Resource Manager,Incorrect Exception Handling
https://github.com/vllm-project/vllm/issues/9708,vllm,Inference/Serving,Crash,,Engine Initializer,Document Issue
https://github.com/vllm-project/vllm/issues/4339,vllm,Inference/Serving,Feature Failure,,Request Parser,Incorrect Request Parsing
https://github.com/vllm-project/vllm/issues/5569,vllm,Inference/Serving,Unexpected Output,Character,Model Loader,Incorrect Algorithm Implementation
https://github.com/vllm-project/vllm/issues/10772,vllm,Inference/Serving,Crash,,Input Processor,Insufficient Multimodal Support
https://github.com/vllm-project/vllm/issues/6366,vllm,Inference/Serving,Crash,,Resource Manager,Incorrect Type
https://github.com/vllm-project/vllm/issues/8116,vllm,Inference/Serving,Crash,,Model Loader,Incorrect Algorithm Implementation
https://github.com/vllm-project/vllm/issues/7388,vllm,Inference/Serving,Crash,,Model Loader,Incompatible Model
https://github.com/vllm-project/vllm/issues/8578,vllm,Inference/Serving,Crash,,Operators,Incorrect Algorithm Implementation
https://github.com/vllm-project/vllm/issues/6551,vllm,Inference/Serving,Feature Failure,,Resource Manager,Incorrect Multi-device Management
https://github.com/vllm-project/vllm/issues/3821,vllm,Inference/Serving,Abnormal Performance,,Resource Manager,Incorrect Resource Allocation
https://github.com/vllm-project/vllm/issues/9019,vllm,Inference/Serving,Feature Failure,,Output Processor,Incorrect Formatting
https://github.com/vllm-project/vllm/issues/4520,vllm,Inference/Serving,Crash,,Model Loader,Misconfiguration
https://github.com/vllm-project/vllm/issues/4310,vllm,Inference/Serving,Crash,,Model Loader,Misconfiguration
https://github.com/vllm-project/vllm/issues/8326,vllm,Inference/Serving,Feature Failure,,Backend Adapter,Misused API
https://github.com/vllm-project/vllm/issues/9080,vllm,Inference/Serving,Unexpected Output,Inconsistent Output,Tester / Benchmarker,Incorrect Algorithm Implementation
https://github.com/vllm-project/vllm/issues/5843,vllm,Inference/Serving,Feature Failure,,Input Processor,Misused API
https://github.com/vllm-project/vllm/issues/8952,vllm,Inference/Serving,Crash,,Request Parser,Incompatible Version
https://github.com/vllm-project/vllm/issues/4344,vllm,Inference/Serving,Crash,,Operators@@Communicator,Concurrency Issue@@Concurrency Issue
https://github.com/vllm-project/vllm/issues/7240,vllm,Inference/Serving,Feature Failure,,Model Loader,Incompatible Model
https://github.com/vllm-project/vllm/issues/6736,vllm,Inference/Serving,Crash,,Model Loader,Incompatible Version
https://github.com/vllm-project/vllm/issues/8194,vllm,Inference/Serving,Crash,,Job Manager,Concurrency Issue
https://github.com/vllm-project/vllm/issues/4365,vllm,Inference/Serving,Crash,,Output Processor,Incorrect Conditional Logic
https://github.com/vllm-project/vllm/issues/7151,vllm,Inference/Serving,Crash,,Engine Initializer,Incompatible Backend
https://github.com/vllm-project/vllm/issues/4605,vllm,Inference/Serving,Crash,,Operators,Incorrect Assignment
https://github.com/vllm-project/vllm/issues/3694,vllm,Inference/Serving,Crash,,Backend Adapter,Incompatible Version
https://github.com/vllm-project/vllm/issues/5363,vllm,Inference/Serving,Crash,,Model Loader@@Model Loader,Incompatible Version@@Incompatible Model
https://github.com/vllm-project/vllm/issues/8988,vllm,Inference/Serving,Crash,,Output Processor,Incorrect Exception Handling
https://github.com/vllm-project/vllm/issues/7196,vllm,Inference/Serving,Crash,,Engine Initializer,Misconfiguration
https://github.com/vllm-project/vllm/issues/10600,vllm,Inference/Serving,Unexpected Output,Repetition,Model Loader,Incompatible Version
https://github.com/vllm-project/vllm/issues/4019,vllm,Inference/Serving,Crash,,Communicator@@Communicator,Incompatible Backend@@Concurrency Issue
https://github.com/vllm-project/vllm/issues/8107,vllm,Engine Setup,Crash,,Setup Tools,Dependent Module Issue
https://github.com/vllm-project/vllm/issues/4172,vllm,Inference/Serving,System Hang,,Resource Manager,Incompatible Backend
https://github.com/vllm-project/vllm/issues/5067,vllm,Inference/Serving,Crash,,Output Processor,Incorrect Algorithm Implementation
https://github.com/vllm-project/vllm/issues/257,vllm,Inference/Serving,Feature Failure,,Job Manager,Incorrect Algorithm Implementation
https://github.com/vllm-project/vllm/issues/7624,vllm,Inference/Serving,Crash,,Model Loader,Incompatible Model
https://github.com/vllm-project/vllm/issues/1682,vllm,Inference/Serving,Crash,,Model Loader,Incompatible Version
https://github.com/vllm-project/vllm/issues/7166,vllm,Engine Setup,Crash,,Backend Adapter,Incompatible Version
https://github.com/vllm-project/vllm/issues/6221,vllm,Engine Setup,Crash,,Setup Tools,Dependent Module Issue
https://github.com/vllm-project/vllm/issues/9048,vllm,Inference/Serving,Feature Failure,,Output Processor,Mismatched Shape
https://github.com/vllm-project/vllm/issues/5513,vllm,Inference/Serving,Crash,,Model Loader@@Model Loader,Mismatched Precision@@Mismatched Shape
https://github.com/vllm-project/vllm/issues/7294,vllm,Inference/Serving,Crash,,Model Loader,Incompatible Model
https://github.com/vllm-project/vllm/issues/173,vllm,Inference/Serving,Crash,,Resource Manager,Misconfiguration
https://github.com/vllm-project/vllm/issues/7242,vllm,Inference/Serving,Unexpected Output,,Tester / Benchmarker@@Tester / Benchmarker,Misused API@@Incorrect Conditional Logic
https://github.com/vllm-project/vllm/issues/5885,vllm,Inference/Serving,Crash,,Input Processor,Incorrect Type
https://github.com/vllm-project/vllm/issues/9100,vllm,Engine Setup,Crash,,Backend Adapter,Incorrect Exception Handling
https://github.com/vllm-project/vllm/issues/4081,vllm,Inference/Serving,Crash,,Tester / Benchmarker,Incompatible Version
https://github.com/vllm-project/vllm/issues/3862,vllm,Inference/Serving,Crash,,Setup Tools,Incompatible Version
https://github.com/vllm-project/vllm/issues/6449,vllm,Inference/Serving,Unexpected Output,Inconsistent Output,Communicator,Incorrect Synchronization
https://github.com/vllm-project/vllm/issues/7472,vllm,Inference/Serving,Feature Failure,,Resource Manager,Incorrect Multi-device Management
https://github.com/vllm-project/vllm/issues/5736,vllm,Engine Setup,Crash,,Setup Tools,Incompatible Version
https://github.com/vllm-project/vllm/issues/10775,vllm,Inference/Serving,Crash,,Backend Adapter,Misused API
https://github.com/vllm-project/vllm/issues/7846,vllm,Inference/Serving,Crash,,Communicator@@Communicator,Incompatible Backend@@Incompatible Version
https://github.com/vllm-project/vllm/issues/5206,vllm,Inference/Serving,Abnormal Performance,,Output Processor,Misused API
https://github.com/vllm-project/vllm/issues/200,vllm,Inference/Serving,Unexpected Output,Semantic Coherence,Operators,Incorrect Algorithm Implementation
https://github.com/vllm-project/vllm/issues/7588,vllm,Inference/Serving,Feature Failure,,Communicator,Incorrect Algorithm Implementation
https://github.com/vllm-project/vllm/issues/4908,vllm,Inference/Serving,Feature Failure,,Model Loader,Incompatible Version
https://github.com/vllm-project/vllm/issues/2147,vllm,Inference/Serving,Feature Failure,,Model Loader,Incompatible Backend
https://github.com/vllm-project/vllm/issues/10693,vllm,Inference/Serving,Crash,,Resource Manager,Concurrency Issue
https://github.com/vllm-project/vllm/issues/2640,vllm,Inference/Serving,Crash,,Engine Initializer,Incompatible Version
https://github.com/vllm-project/vllm/issues/4795,vllm,Inference/Serving,Feature Failure,,Request Parser@@Output Processor,Incorrect Request Parsing@@Incorrect Formatting
https://github.com/vllm-project/vllm/issues/6015,vllm,Inference/Serving,Feature Failure,,Model Loader,Incompatible Model
https://github.com/vllm-project/vllm/issues/6477,vllm,Inference/Serving,Crash,,Operators,Incorrect Algorithm Implementation
https://github.com/vllm-project/vllm/issues/7742,vllm,Inference/Serving,Crash,,Operators,Incorrect Algorithm Implementation
https://github.com/vllm-project/vllm/issues/8369,vllm,Inference/Serving,Crash,,Input Processor,Mismatched Shape
https://github.com/vllm-project/vllm/issues/6176,vllm,Inference/Serving,Crash,,Input Processor,Insufficient Multimodal Support
https://github.com/vllm-project/vllm/issues/6791,vllm,Inference/Serving,Crash,,Model Loader,Misused API
https://github.com/vllm-project/vllm/issues/6004,vllm,Inference/Serving,Crash,,Engine Initializer,Concurrency Issue
https://github.com/vllm-project/vllm/issues/10444,vllm,Inference/Serving,Crash,,Input Processor,Incorrect Conditional Logic
https://github.com/vllm-project/vllm/issues/6152,vllm,Inference/Serving,Crash,,Engine Initializer,Concurrency Issue
https://github.com/vllm-project/vllm/issues/6885,vllm,Inference/Serving,Crash,,Output Processor,Incompatible Version
https://github.com/vllm-project/vllm/issues/6586,vllm,Inference/Serving,Crash,,Job Manager,Incorrect Conditional Logic
https://github.com/vllm-project/vllm/issues/9774,vllm,Inference/Serving,Crash,,Communicator,Incorrect Algorithm Implementation
https://github.com/vllm-project/vllm/issues/8563,vllm,Engine Setup,Crash,,Setup Tools,Incompatible Backend
https://github.com/vllm-project/vllm/issues/5334,vllm,Inference/Serving,Unexpected Output,,Output Processor,Incorrect Formatting
https://github.com/vllm-project/vllm/issues/641,vllm,Inference/Serving,Crash,,Operators,Numerical Issue
https://github.com/vllm-project/vllm/issues/6340,vllm,Inference/Serving,Crash,,Monitor & Logger,Incorrect Type
https://github.com/vllm-project/vllm/issues/8212,vllm,Inference/Serving,Crash,,Request Parser,Incompatible Version
https://github.com/vllm-project/vllm/issues/1403,vllm,Inference/Serving,Crash,,Model Loader,Incompatible Model
https://github.com/vllm-project/vllm/issues/8923,vllm,Inference/Serving,Crash,,Model Loader,Incorrect Exception Handling
https://github.com/vllm-project/vllm/issues/4904,vllm,Inference/Serving,System Hang,,Output Processor@@Output Processor,Concurrency Issue@@Misused API
https://github.com/vllm-project/vllm/issues/7262,vllm,Inference/Serving,Feature Failure,,Output Processor,Misused API
https://github.com/vllm-project/vllm/issues/4362,vllm,Inference/Serving,Feature Failure,,Engine Initializer,Incorrect Type
https://github.com/vllm-project/vllm/issues/4438,vllm,Inference/Serving,Crash,,Operators,Incompatible Backend
https://github.com/vllm-project/vllm/issues/6337,vllm,Inference/Serving,Feature Failure,,Monitor & Logger,Incorrect Algorithm Implementation
https://github.com/vllm-project/vllm/issues/10042,vllm,Inference/Serving,Crash,,Input Processor,Incorrect Type
https://github.com/vllm-project/vllm/issues/5976,vllm,Inference/Serving,Crash,,Model Loader@@Model Loader,Incorrect Assignment@@Misconfiguration
https://github.com/vllm-project/vllm/issues/7149,vllm,Inference/Serving,Crash,,Model Loader,Incompatible Model
https://github.com/vllm-project/vllm/issues/4883,vllm,Inference/Serving,Crash,,Model Loader,Incompatible Model
https://github.com/vllm-project/vllm/issues/8461,vllm,Inference/Serving,Crash,,Model Loader,Incompatible Model
